2312,2300,Water Science and Technology
2401,2400,Immunology and Microbiology (miscellaneous)
2402,2400,Applied Microbiology and Biotechnology
2403,2400,Immunology
2404,2400,Microbiology
2405,2400,Parasitology
2406,2400,Virology
2501,2500,Materials Science (miscellaneous)
2502,2500,Biomaterials
2503,2500,Ceramics and Composites
2504,2500,"Electronic, Optical and Magnetic Materials"
2505,2500,Materials Chemistry
2506,2500,Metals and Alloys
2507,2500,Polymers and Plastics
2508,2500,"Surfaces, Coatings and Films"
2509,2500,Nanoscience and Nanotechnology
2601,2600,Mathematics (miscellaneous)
2602,2600,Algebra and Number Theory
2603,2600,Analysis
2604,2600,Applied Mathematics
2605,2600,Computational Mathematics
2606,2600,Control and Optimization
2607,2600,Discrete Mathematics and Combinatorics
2608,2600,Geometry and Topology
2609,2600,Logic
2610,2600,Mathematical Physics
2611,2600,Modeling and Simulation
2612,2600,Numerical Analysis
2613,2600,Statistics and Probability
2614,2600,Theoretical Computer Science
2701,2700,Medicine (miscellaneous)
2702,2700,Anatomy
2703,2700,Anesthesiology and Pain Medicine
2704,2700,Biochemistry (medical)
2705,2700,Cardiology and Cardiovascular Medicine
2706,2700,Critical Care and Intensive Care Medicine
2707,2700,Complementary and Alternative Medicine
2708,2700,Dermatology
2709,2700,Drug Guides
2710,2700,Embryology
2711,2700,Emergency Medicine
2712,2700,"Endocrinology, Diabetes and Metabolism"
2713,2700,Epidemiology
2714,2700,Family Practice
2715,2700,Gastroenterology
2716,2700,Genetics (clinical)
2717,2700,Geriatrics and Gerontology
2718,2700,Health Informatics
2719,2700,Health Policy
2720,2700,Hematology
2721,2700,Hepatology
2722,2700,Histology
2723,2700,Immunology and Allergy
2724,2700,Internal Medicine
2725,2700,Infectious Diseases
2726,2700,Microbiology (medical)
2727,2700,Nephrology
2728,2700,Neurology (clinical)
2729,2700,Obstetrics and Gynecology
2730,2700,Oncology
2731,2700,Ophthalmology
2732,2700,Orthopedics and Sports Medicine
2733,2700,Otorhinolaryngology
2734,2700,Pathology and Forensic Medicine
2735,2700,"Pediatrics, Perinatology and Child Health"
2736,2700,Pharmacology (medical)
2737,2700,Physiology (medical)
2738,2700,Psychiatry and Mental Health
2739,2700,"Public Health, Environmental and Occupational Health"
2740,2700,Pulmonary and Respiratory Medicine
2741,2700,"Radiology, Nuclear Medicine and Imaging"
2742,2700,Rehabilitation
2743,2700,Reproductive Medicine
2744,2700,Reviews and References (medical)
2745,2700,Rheumatology
2746,2700,Surgery
2747,2700,Transplantation
2748,2700,Urology
2801,2800,Neuroscience (miscellaneous)
2802,2800,Behavioral Neuroscience
2803,2800,Biological Psychiatry
2804,2800,Cellular and Molecular Neuroscience
2805,2800,Cognitive Neuroscience
2806,2800,Developmental Neuroscience
2807,2800,Endocrine and Autonomic Systems
2808,2800,Neurology
2809,2800,Sensory Systems
2901,2900,Nursing (miscellaneous)
2902,2900,Advanced and Specialized Nursing
2903,2900,Assessment and Diagnosis
2904,2900,Care Planning
2905,2900,Community and Home Care
2906,2900,Critical Care Nursing
2907,2900,Emergency Nursing
2908,2900,Fundamentals and Skills
2909,2900,Gerontology
2910,2900,"Issues, Ethics and Legal Aspects"
2911,2900,Leadership and Management
2912,2900,LPN and LVN
2913,2900,Maternity and Midwifery
2914,2900,Medical and Surgical Nursing
2915,2900,Nurse Assisting
2916,2900,Nutrition and Dietetics
2917,2900,Oncology (nursing)
2918,2900,Pathophysiology
2919,2900,Pediatrics
2920,2900,Pharmacology (nursing)
2921,2900,Psychiatric Mental Health
2922,2900,Research and Theory
2923,2900,Review and Exam Preparation
3001,3000,"Pharmacology, Toxicology and Pharmaceutics (miscellaneous)"
3002,3000,Drug Discovery
3003,3000,Pharmaceutical Science
3004,3000,Pharmacology
3005,3000,Toxicology
3101,3100,Physics and Astronomy (miscellaneous)
3102,3100,Acoustics and Ultrasonics
3103,3100,Astronomy and Astrophysics
3104,3100,Condensed Matter Physics
3105,3100,Instrumentation
3106,3100,Nuclear and High Energy Physics
3107,3100,"Atomic and Molecular Physics, and Optics"
3108,3100,Radiation
3109,3100,Statistical and Nonlinear Physics
3110,3100,Surfaces and Interfaces
3201,3200,Psychology (miscellaneous)
3202,3200,Applied Psychology
3203,3200,Clinical Psychology
3204,3200,Developmental and Educational Psychology
3205,3200,Experimental and Cognitive Psychology
3206,3200,Neuropsychology and Physiological Psychology
3207,3200,Social Psychology
3301,3300,Social Sciences (miscellaneous)
3302,3300,Archeology
3303,3300,Development
3304,3300,Education
3305,3300,"Geography, Planning and Development"
3306,3300,Health (social science)
3307,3300,Human Factors and Ergonomics
3308,3300,Law
3309,3300,Library and Information Sciences
3310,3300,Linguistics and Language
3311,3300,Safety Research
3312,3300,Sociology and Political Science
3313,3300,Transportation
3314,3300,Anthropology
3315,3300,Communication
3316,3300,Cultural Studies
3317,3300,Demography
3318,3300,Gender Studies
3319,3300,Life-span and Life-course Studies
3320,3300,Political Science and International Relations
3321,3300,Public Administration
3322,3300,Urban Studies
3323,3300,Social Work
3401,3400,Veterinary (miscellaneous)
3402,3400,Equine
3403,3400,Food Animals
3404,3400,Small Animals
3501,3500,Dentistry (miscellaneous)
3502,3500,Dental Assisting
3503,3500,Dental Hygiene
3504,3500,Oral Surgery
3505,3500,Orthodontics
3506,3500,Periodontics
3601,3600,Health Professions (miscellaneous)
3602,3600,Chiropractics
3603,3600,Complementary and Manual Therapy
3604,3600,Emergency Medical Services
3605,3600,Health Information Management
3606,3600,Medical Assisting and Transcription
3607,3600,Medical Laboratory Technology
3608,3600,Medical Terminology
3609,3600,Occupational Therapy
3610,3600,Optometry
3611,3600,Pharmacy
3612,3600,"Physical Therapy, Sports Therapy and Rehabilitation"
3613,3600,Podiatry
3614,3600,Radiological and Ultrasound Technology
3615,3600,Respiratory Care
3616,3600,Speech and Hearing
