id_autor_gs,full_name,country,result_found,first_name,last_name,probability,gender,samples
nW4AyuUAAAAJ,Patricio Lepe-Carrión,CL,True,Patricio,Lepe-Carrión,1,male,1407
G94xvhwAAAAJ,PAULA ALONQUEO BOUDON,CL,True,Paula,Boudon,0.98,female,919
f5PynEUAAAAJ,Joaquin Ignacio  Rilling Tenorio,CL,True,Joaquin Ignacio,Tenorio,1,male,10
fW-3JM0AAAAJ,Carolina Merino,CL,True,Carolina,Merino,0.98,female,2204
Kq07JC4AAAAJ,Francisco Nájera De Ferrari,CL,True,Francisco,de Ferrari,1,male,2108
tiKyJYkAAAAJ,Luis Aguila,CL,True,Luis,Aguila,1,male,2313
afAsPyIAAAAJ,VICTOR JAVIER BELTRAN VARAS,CL,True,Victor Javier,Varas,1,male,2434
IVw96vMAAAAJ,HEIDI LAURA SCHALCHLI SAEZ,CL,True,Heidi Laura,Saez,0.97,female,285
AycSUGUAAAAJ,Edgar Uquiche,CL,True,Edgar,Uquiche,0.97,male,60
vlQ3vo8AAAAJ,Nikolaos Dimakis,CL,True,Nikolaos,Dimakis,0.99,male,926
ex_QyMYAAAAJ,CLEMENTINA DEL PILAR HUECHE ARRIAGADA,CL,True,Clementina Del Pilar,Arriagada,0.98,female,314
NS0SYN0AAAAJ,FERNANDO JOSE DIAS,CL,True,Fernando Jose,Dias,1,male,3
WByNlhMAAAAJ,CAROLINA ANDREA NAVARRETE GONZALEZ,CL,True,Carolina Andrea,Gonzalez,0.98,female,3496
P2rwnR8AAAAJ,Grigoris Panotopoulos,CL,True,Grigoris,Panotopoulos,0.98,male,507
99Up5MgAAAAJ,Débora Fernández Cárcamo,CL,True,Débora,Cárcamo,1,female,13
8aHgZHgAAAAJ,Franco Menares,CL,True,Franco,Menares,0.99,male,335
391BCNkAAAAJ,Abdul M. Reyes,CL,True,Abdul,Reyes,1,male,3
Jbu489QAAAAJ,Felipe Barreto Schuch,CL,True,Felipe,Schuch,1,male,2439
N8yqkesAAAAJ,Leandro F. M. Rezende,CL,True,Leandro,Rezende,0.99,male,148
YmxdL8UAAAAJ,Ivan Cavero Redondo,CL,True,Ivan,Cavero,1,male,493
gRQ_kmwAAAAJ,"Carlos Leonardo Cespedes-Acuña, Ph.D.",CL,True,Carlos Leonardo,Cespedes-Acuña,1,male,3299
yZBwWmMAAAAJ,Roberto Fernandes da Costa,CL,True,Roberto Da,Costa,1,male,990
UOL-dSQAAAAJ,Edgardo MIRANDA ZAPATA,CL,True,Edgardo Miranda,Zapata,0.95,male,157
vwyP8e0AAAAJ,Eduardo Augusto Fernandes Nilson,CL,True,Eduardo Augusto Nilson,Fernandes,0.99,male,1468
kRU66jcAAAAJ,"Garcia-Gordillo, M.A.",CL,True,,,,,
fkPKu54AAAAJ,Daniel Orrego Orrego,CL,True,Daniel,Orrego,1,male,1613
tSgBUfoAAAAJ,Denet SOLER,CL,True,Denet,Soler,0.56,female,9
1TEO7iwAAAAJ,Leonel Octavio Busto Diaz,CL,True,Leonel Octavio,Diaz,0.99,male,137
3XWFHGUAAAAJ,Mauricio Aguilera-Muñoz,CL,True,Mauricio,Aguilera-Muñoz,1,male,1359
4PAUL3gAAAAJ,Valeska Sánchez,CL,True,Valeska,Sánchez,0.97,female,191
4RCw3foAAAAJ,"Castellví, Juan Andrés",CL,True,Juan Andrés,Castellví,1,male,21
5wzrRAEAAAAJ,Damaris Caroca,CL,True,Damaris,Caroca,0.97,female,64
8tKlpIAAAAAJ,Lidia Inés Tenorio Arellano,CL,True,Lidia Inés,Arellano,0.97,female,102
9Cks4-sAAAAJ,Rodolfo Sandoval-Barrientos,CL,True,Rodolfo,Sandoval-Barrientos,0.99,male,261
CciJ-nwAAAAJ,Daniella Paola Alberti Chesta,CL,True,Daniella Paola,Chesta,0.98,female,902
DenqydYAAAAJ,Freddy Vera Cornejo,CL,True,Freddy Vera,Cornejo,0.97,male,174
GFxkqv4AAAAJ,Daniel Zamora Marín,CL,True,Daniel,Marín,1,male,1613
IypFvVwAAAAJ,Catalina Pezo Mora,CL,True,Catalina,Mora,0.97,female,867
KSC8EY4AAAAJ,Luis Felipe Lillo Tejeda,CL,True,Luis Felipe,Tejeda,1,male,4752
LOJhW34AAAAJ,Mario Sarian Gonzalez,CL,True,Mario,Gonzalez,1,male,871
PW5teDIAAAAJ,Álvaro Levín Catrilao,CL,True,Álvaro,Catrilao,1,male,79
Omj99c0AAAAJ,Abraham Bobadilla Osses,CL,True,Abraham,Osses,0.99,male,91
RC3yn_0AAAAJ,Matias Moreno Tejer,CL,True,Matias,Moreno,0.99,male,824
QrSgghkAAAAJ,Valentina Contreras-Vera,CL,True,Valentina,Contreras-Vera,0.97,female,748
RUd9Y58AAAAJ,Gerald Steger,CL,True,Gerald,Steger,1,male,28
R_Qf26kAAAAJ,Felipe E. Valenzuela Espinosa,CL,True,Felipe,Espinosa,1,male,2439
TOTQ76gAAAAJ,Mauricio Axel Meneses Villalobos,CL,True,Mauricio Axel,Villalobos,1,male,1434
T6BkfisAAAAJ,Alejandra Pérez Bazáes,CL,True,Alejandra,Pérez,0.98,female,1200
YbcCh08AAAAJ,Rodrigo Inatzu Jiménez,CL,True,Rodrigo,Jiménez,0.99,male,2771
a0kUd1UAAAAJ,María Lisette Quijada Vásquez,CL,True,María Lisette,Vásquez,1,female,157
_sSbn4oAAAAJ,Cristian Dionisio Barros Osorio,CL,True,Cristian Dionisio,Osorio,1,male,2573
cx7Y6SsAAAAJ,Maribel Mendoza,CL,True,Maribel,Mendoza,0.99,female,111
egn_94kAAAAJ,Jorge Monsalve Solar,CL,True,Jorge,Solar,0.99,male,2344
erhO2acAAAAJ,Gonzalo Zambrano Millar,CL,True,Gonzalo,Millar,0.99,male,1005
h567zzkAAAAJ,Silvana Nicole Saavedra Clarke,CL,True,Silvana Nicole,Saavedra,0.98,female,979
hnZLQPwAAAAJ,Marcela Beltra,CL,True,Marcela,Beltra,0.98,female,1002
oSWFGxgAAAAJ,Tomas Nelson Sepulveda Zamorano,CL,True,Tomas Nelson,Zamorano,1,male,656
rAgWOdUAAAAJ,Eduardo Rivera,CL,True,Eduardo,Rivera,0.99,male,1416
roDPtqEAAAAJ,Cristian Saez Morales,CL,True,Cristian,Morales,1,male,2566
ryG522IAAAAJ,Felipe Poblete Garrido,CL,True,Felipe,Garrido,1,male,2439
sr5TVesAAAAJ,Natalia Azócar,CL,True,Natalia,Azócar,0.97,female,960
x37QLCxXy6AC,Mariela Constanza Reyes Muñoz,CL,True,Mariela Constanza Reyes,Muñoz,0.97,female,1184
G587BYUAAAAJ,Alvaro Alemán-Gutiérrez,CL,True,Alvaro,Alemán-Gutiérrez,0.99,male,725
bBBUS9EAAAAJ,Jorge Félix Mena-Reyes,CL,True,Jorge Félix,Mena-Reyes,0.99,male,2359
AH6hhsIAAAAJ,Pilar Leiva-Quiroz,CL,True,Pilar,Leiva-Quiroz,0.99,female,305
C6V9rJIAAAAJ,Javier Nebrijo,CL,True,Javier,Nebrijo,1,male,1272
0ijQqIgAAAAJ,Ailyn Navarrete Lagos,CL,True,Ailyn,Lagos,1,female,10
0H5Rgv8AAAAJ,Nicole Del Canto Rivera,CL,True,Nicole Del,Rivera,0.97,female,836
2nHMa3YAAAAJ,Cristobal Campos Olmedo,CL,True,Cristobal,Olmedo,1,male,440
3LJyhEcAAAAJ,Moisés Ariel Neira Nova,CL,True,Moisés Ariel,Nova,0.99,male,405
9FzESQ4AAAAJ,Gonzalo Contreras,CL,True,Gonzalo,Contreras,0.99,male,1005
Dr0puvoAAAAJ,Marcos Aravena Flores,CL,True,Marcos,Flores,0.99,male,375
Et7POUwAAAAJ,ricardo i castro,CL,True,Ricardo,Castro,1,male,1260
NLRqqDQAAAAJ,Sebastián Preller Bórquez,CL,True,Sebastián,Bórquez,1,male,409
NadNrlUAAAAJ,Gabriel Venegas M.,CL,True,Gabriel,Venegas,1,male,736
Pg9yIgoAAAAJ,Italo Sepúlveda,CL,True,Italo,Sepúlveda,1,male,79
QgGSvMEAAAAJ,Jorge Vásquez Yáñez,CL,True,Jorge,Yáñez,0.99,male,2344
U817uRsAAAAJ,Juan Castañeda Alcaino,CL,True,Juan,Alcaino,1,male,1749
Y8lZQicAAAAJ,Fernando Verdugo,CL,True,Fernando,Verdugo,1,male,1212
a52MgdkAAAAJ,Maximiliano Gaete Espina,CL,True,Maximiliano,Gaete,1,male,277
bWdH0xMAAAAJ,javiera aubert,CL,True,Javiera,Aubert,0.98,female,927
jBT6CSIAAAAJ,Dinka Acevedo Caradeux,CL,True,Dinka,Acevedo,1,female,3
llpjQfQAAAAJ,Caroline Zamorano Sánchez,CL,True,Caroline,Sánchez,0.98,female,64
qMukh_EAAAAJ,Catalina Chirino,CL,True,Catalina,Chirino,0.97,female,867
vR2ZtbMAAAAJ,SILVIA SAVIO CHATAIGNIER,CL,True,Silvia,Chataignier,0.98,female,210
wEX5fuIAAAAJ,Cristian Antümilla Pangiküll,CL,True,Cristian,Antümilla Pangiküll,1,male,2566
x8TYj_MAAAAJ,Carmen Gemita Oyarzo Vidal,CL,True,Carmen Gemita,Vidal,0.99,female,369
DeAKG9UAAAAJ,DILVER ELIAS ESPEJO RIMAPA,CL,True,Elias,Espejo,0.99,male,167
Ed747wgAAAAJ,Pedro Vidal-Gutiérrez,CL,True,Pedro,Vidal-Gutiérrez,1,male,848
CrPs498AAAAJ,Verónica del Carmen Peña Acuña,CL,True,Verónica Del Carmen,Acuña,0.99,female,538
FvDrl7MAAAAJ,Constanza Suazo Muñoz,CL,True,Constanza,Muñoz,0.98,female,943
HDH152YAAAAJ,Renan Concha-Zelada,CL,True,Renan,Concha-Zelada,1,male,6
WVOjlx8AAAAJ,Cristian Basoalto,CL,True,Cristian,Basoalto,1,male,2566
UyVvPisAAAAJ,Álvaro Vicente Palma Mora,CL,True,Álvaro Vicente,Mora,1,male,346
jcJv-wIAAAAJ,Pablo E. Ramírez Césped,CL,True,Pablo,Césped,1,male,2045
pmP7--cAAAAJ,Francisco Hernández Sepúlveda,CL,True,Francisco,Sepúlveda,1,male,2108
u0Z7LXEAAAAJ,Esteban Riffo,CL,True,Esteban,Riffo,1,male,674
zxbETVAAAAAJ,Yarisel Bueno Broterson,CL,True,Yarisel,Bueno,1,female,16
BcZMLHIAAAAJ,José Baroja,CL,True,José,Baroja,0.99,male,385
D8CgdiwAAAAJ,DIEGO MELLADO RIFFO,CL,True,Diego,Riffo,1,male,1660
LMFypykAAAAJ,Lorenzo Aravena R.,CL,True,Lorenzo,Aravena,0.98,male,58
j5EW0SgAAAAJ,Paloma Labra-Valerdi,CL,True,Paloma,Labra-Valerdi,0.96,female,116
jS6yijcAAAAJ,Nathalie Coliñir Pavez,CL,True,Nathalie,Pavez,1,female,66
stSc1icAAAAJ,Italo Salgado Ismodes,CL,True,Italo,Salgado,1,male,79
tdOV3-wAAAAJ,Alicia Contreras Mu,CL,True,Alicia,Contreras,0.97,female,199
-kEboHkAAAAJ,Leonardo Carrera Airola,CL,True,Leonardo,Carrera,1,male,517
AtLw4TYAAAAJ,Lucas Pablo Marambio Ruiz,CL,True,Lucas Pablo,Ruiz,1,male,2208
WXQAMLgAAAAJ,MARCELO RICARDO ESPERGUEL SANDOVAL,CL,True,Marcelo Ricardo,Sandoval,1,male,2474
wkFP4Z4AAAAJ,Natalia Sáez,CL,True,Natalia,Sáez,0.97,female,960
wt8sxZMAAAAJ,MONICA ARNOUIL SEGUEL,CL,True,Monica,Seguel,0.98,female,393
hJT0aKIAAAAJ,Claudio Villegas,CL,True,Claudio,Villegas,0.99,male,1560
A1IrhjAAAAAJ,Miseldra Gil-Marín 0000-0003-2553-5020,CL,True,Gil-Marín Oooo-Ooö-Zsse-Sozo,Miseldra,0,unknown,0
Nlv9RKQAAAAJ,Mario Alejandro Ramos Maldonado,CL,True,Mario Alejandro,Maldonado,1,male,2435
0RWPOe4AAAAJ,Pablo Vasquez-Cerda,CL,True,Pablo,Vasquez-Cerda,1,male,2045
2YfWerMAAAAJ,Sebastián Russelsh Vejar Contuliano,CL,True,Sebastián,Vejar,1,male,409
9h2LiBMAAAAJ,alfredo espinoza garcia,CL,True,Alfredo,Garcia,1,male,279
GaoxiDcAAAAJ,Tamara Márquez,CL,True,Tamara,Márquez,0.97,female,450
OEBzrJ8AAAAJ,Francisco Adrian Salinas Barahona,CL,True,Francisco Adrian,Barahona,1,male,2230
X85jYtwAAAAJ,Johanna Alvarado,CL,True,Johanna,Alvarado,0.98,female,204
c-3SCn8AAAAJ,Céspedes-Méndez Camilo,CL,True,Méndez,Camilo,0.5,unknown,8
etC-SF8AAAAJ,Ingrid Godoy Rojas,CL,True,Ingrid,Rojas,0.97,female,324
niargXcAAAAJ,Simón Díaz Méndez,CL,True,Simón,Díaz,1,male,29
s2jMKBcAAAAJ,Carolina Vergara Zamorano,CL,True,Carolina,Zamorano,0.98,female,2204
gRv7R9wAAAAJ,Miguel Angel Rosas Villalobos,CL,True,Miguel,Villalobos,0.99,male,1055
mcP9yoMAAAAJ,Yenny Valdivia-Rojas,CL,True,Yenny,Valdivia-Rojas,1,female,59
46HGMfIAAAAJ,Oscar Loyola,CL,True,Oscar,Loyola,0.99,male,756
GnwnfE0AAAAJ,Stephanie Prieto Suazo,CL,True,Stephanie,Suazo,0.98,female,152
HLbzVzIAAAAJ,Javiera Santander Sandoval,CL,True,Javiera,Sandoval,0.98,female,927
Jx6BG8sAAAAJ,Myriam Gaete,CL,True,Myriam,Gaete,0.97,female,143
Q-cGx-EAAAAJ,Marisol Salgado López,CL,True,Marisol,López,0.96,female,255
RJlKVZwAAAAJ,Fernanda Mellado,CL,True,Fernanda,Mellado,0.98,female,796
S7ABrrsAAAAJ,JUAN EDUARDO CARES SAAVEDRA,CL,True,Juan Eduardo,Saavedra,0.99,male,3165
nkHLxHsAAAAJ,Carlos Alvarez Mitchell,CL,True,Carlos,Mitchell,1,male,2782
pDgkENAAAAAJ,Alexis Lizana-Verdugo,CL,True,Alexis,Lizana-Verdugo,0.98,male,527
sg3JZXEAAAAJ,Romina Narváez,CL,True,Romina,Narváez,0.98,female,453
S7fXvJYAAAAJ,Muriel Diaz Cisternas,CL,True,Muriel,Cisternas,0.95,female,37
xLADX-UAAAAJ,Alicia Elizabeth Hermosilla Ávila,CL,True,Alicia Elizabeth,Ávila,0.97,female,868
-K9ignwAAAAJ,Juan Ignacio Jiménez Albornoz,CL,True,Juan Ignacio,Albornoz,1,male,2623
XUK1kpkAAAAJ,Juan alberto Sanhueza Vidal,CL,True,Juan Alberto,Vidal,1,male,19
dYLcOLAAAAAJ,Luis Lorenzo Huala,CL,True,Luis Lorenzo,Huala,1,male,2371
1onuMO0AAAAJ,Alan Jara-Cisterna,CL,True,Alan,Jara-Cisterna,0.99,male,149
TOBpGywAAAAJ,Juan Carlos Rosas Muñoz,CL,True,Juan Carlos,Muñoz,1,male,4531
VR6WgboAAAAJ,Manuel Perez Ayala,CL,True,Manuel,Ayala,0.99,male,1164
pvUyCj4AAAAJ,Marcela Andrade Perez,CL,True,Marcela,Perez,0.98,female,1002
y9IpTywAAAAJ,Juan Stockle,CL,True,Juan,Stockle,1,male,1749
4r7pet2H49EC,Alex Ariel Fernández Andrade,CL,True,Alex Ariel,Andrade,0.98,male,1003
8S3ZcNsAAAAJ,Leticia Galleguillos Peralta,CL,True,Leticia,Peralta,1,female,94
